127.0.0.1 - - [21/Aug/2024:19:09:00 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/register.jsp HTTP/1.1" 200 35884
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/css/owl.transitions.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/p-9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/p-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/p-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/p-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/jquery.raty.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/jquery.selectbox-0.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/js/theme-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/p-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/p-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/mega-offers.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/offers.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:02 +0530] "GET /Clothing_Shop/images/logo-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2024:19:09:03 +0530] "GET /Clothing_Shop/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
