127.0.0.1 - - [22/Aug/2024:21:07:39 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 9649
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/jquery.timepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/scrollax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/google-map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/images/bg_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:40 +0530] "GET /MyProject/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:21:07:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
